time,queue_density,dynamic_density
0.0666667,0.1081,0.000276891
0.133333,0.112282,0.000276891
0.2,0.117641,0.00528909
0.266667,0.128703,0.00665008
0.333333,0.140529,0.0125634
0.4,0.148442,0.0161442
0.466667,0.159752,0.0240332
0.533333,0.170795,0.032753
0.6,0.173958,0.0396799
0.666667,0.181171,0.0455322
0.733333,0.166778,0.0139713
0.8,0.166998,0.0160268
0.866667,0.165595,0.0113572
0.933333,0.167106,0.0110663
1,0.169387,0.0155106
1.06667,0.187019,0.0568378
1.13333,0.187775,0.0567721
1.2,0.183945,0.0583537
1.26667,0.187296,0.0628778
1.33333,0.187455,0.0639807
1.4,0.180261,0.0567111
1.46667,0.184137,0.0633565
1.53333,0.192566,0.0665384
1.6,0.184823,0.0555378
1.66667,0.191965,0.0641778
1.73333,0.194331,0.0627558
1.8,0.194894,0.068716
1.86667,0.200474,0.0752675
1.93333,0.210254,0.0822273
2,0.205819,0.0832363
2.06667,0.205524,0.084663
2.13333,0.20788,0.0859255
2.2,0.202727,0.0818472
2.26667,0.206035,0.0835414
2.33333,0.210268,0.090046
2.4,0.202361,0.0789375
2.46667,0.204604,0.0827342
2.53333,0.201643,0.0780411
2.6,0.197203,0.0733246
2.66667,0.200582,0.0790924
2.73333,0.201314,0.0775108
2.8,0.196626,0.0762671
2.86667,0.198081,0.0826403
2.93333,0.196992,0.0759574
3,0.19136,0.0709076
3.06667,0.192965,0.0741271
3.13333,0.19389,0.0748827
3.2,0.188849,0.0651586
3.26667,0.189933,0.0674066
3.33333,0.192505,0.0695185
3.4,0.181692,0.0243242
3.46667,0.182622,0.025657
3.53333,0.19212,0.0679463
3.6,0.187526,0.0501267
3.66667,0.186648,0.0467055
3.73333,0.190295,0.056697
3.8,0.182495,0.0267928
3.86667,0.182363,0.0284166
3.93333,0.184274,0.0299981
4,0.18364,0.0265299
4.06667,0.184907,0.0298573
4.13333,0.184888,0.0280317
4.2,0.183706,0.0269054
4.26667,0.183527,0.0283227
4.33333,0.185301,0.0287592
4.4,0.184048,0.0269617
4.46667,0.185222,0.0282711
4.53333,0.18609,0.0289281
4.6,0.184325,0.0272104
4.66667,0.179472,0.026896
4.73333,0.181828,0.0290924
4.8,0.181828,0.0285433
4.86667,0.183161,0.0299465
4.93333,0.183767,0.0299747
5,0.184363,0.0313732
5.06667,0.185301,0.0316548
5.13333,0.185175,0.0313685
5.2,0.18525,0.0308992
5.26667,0.183785,0.0288953
5.33333,0.185583,0.0299418
5.4,0.186559,0.0309508
5.46667,0.188619,0.0329548
5.53333,0.196133,0.0363854
