time,queue_density,dynamic_density
0.0666667,0.108072,0
0.133333,0.112254,0
0.2,0.117158,0
0.266667,0.127605,0
0.333333,0.140281,0.0616529
0.4,0.144838,0
0.466667,0.154097,0
0.533333,0.159283,0
0.6,0.160597,0
0.666667,0.161245,0.0469448
0.733333,0.161855,0.0479116
0.8,0.163328,0.0545007
0.866667,0.164642,0.0539938
0.933333,0.165891,0.0557631
1,0.166261,0.0602684
1.06667,0.16781,0.0565281
1.13333,0.167026,0.0597944
1.2,0.165609,0.0624507
1.26667,0.16751,0.0597991
1.33333,0.16238,0.0607096
1.4,0.16406,0.0644828
1.46667,0.165684,0.0622208
1.53333,0.169195,0.0639619
1.6,0.171138,0.0674113
1.66667,0.17508,0.0644265
1.73333,0.178445,0.0651492
1.8,0.180374,0.0684766
1.86667,0.182809,0.0753754
1.93333,0.182467,0.0769429
2,0.183396,0.0836963
2.06667,0.182781,0.0801765
2.13333,0.182546,0.0789938
2.2,0.182734,0.0841233
2.26667,0.183321,0.0809696
2.33333,0.182373,0.081392
2.4,0.181852,0.0845222
2.46667,0.181857,0.0884363
2.53333,0.180083,0.0892763
2.6,0.179599,0.0912333
2.66667,0.180261,0.088563
2.73333,0.179534,0.0882063
2.8,0.178614,0.0164445
2.86667,0.177398,0.0156279
2.93333,0.178351,0.088868
3,0.174897,0.0170875
3.06667,0.174376,0.0160691
3.13333,0.176699,0.0895157
3.2,0.174357,0.0176319
3.26667,0.17447,0.0167402
3.33333,0.176169,0.0872301
3.4,0.174648,0.0182326
3.46667,0.174493,0.0172705
3.53333,0.174873,0.0175568
3.6,0.174465,0.0185611
3.66667,0.174277,0.0176741
3.73333,0.175286,0.0177257
3.8,0.175033,0.0188192
3.86667,0.174226,0.0177445
3.93333,0.175404,0.0181012
4,0.175925,0.0191008
4.06667,0.176258,0.0183265
4.13333,0.17584,0.0185376
4.2,0.176084,0.0193448
4.26667,0.175394,0.0186925
4.33333,0.175934,0.0188005
4.4,0.176704,0.0197109
4.46667,0.177318,0.0190961
4.53333,0.176858,0.0193026
4.6,0.176868,0.0200488
4.66667,0.171593,0.0193308
4.73333,0.172485,0.019556
4.8,0.173705,0
4.86667,0.174376,0
4.93333,0.174878,0.020321
5,0.175479,0
5.06667,0.176309,0
5.13333,0.176244,0.0215506
5.2,0.176117,0
5.26667,0.176783,0
5.33333,0.178112,0.0224188
5.4,0.179646,0
5.46667,0.181369,0
5.53333,0.187554,0.0271166
5.6,0.191754,0
5.66667,0.199216,0
5.73333,0.206354,0.0277501
5.8,0.209405,0
5.86667,0.218322,0
5.93333,0.226577,0
6,0.229379,0
6.06667,0.236231,0
6.13333,0.23685,0
6.2,0.237671,0
6.26667,0.238446,0.0435658
6.33333,0.229013,0.0431012
6.4,0.229928,0.0455416
6.46667,0.229557,0.0432842
6.53333,0.230815,0.0438427
6.6,0.231162,0.0462268
6.66667,0.233814,0.0444106
6.73333,0.232363,0.0451896
6.8,0.23364,0.0470715
6.86667,0.235001,0.0452741
6.93333,0.235226,0.0454289
7,0.2357,0.0480946
7.06667,0.23808,0.0463112
7.13333,0.244777,0.0539187
7.2,0.248156,0.0571851
7.26667,0.253787,0.054327
7.33333,0.261132,0.0532148
7.4,0.265309,0.0562183
7.46667,0.270847,0.0537779
7.53333,0.27584,0.0540548
7.6,0.276567,0.0585883
7.66667,0.280477,0.0558663
7.73333,0.283954,0.0497278
7.8,0.283616,0.0841327
7.86667,0.282354,0.118674
7.93333,0.283377,0.120124
8,0.281045,0.13042
8.06667,0.280838,0.0866482
8.13333,0.280181,0.0782382
8.2,0.279759,0.0790454
8.26667,0.279534,0.0844331
8.33333,0.279402,0.0838042
8.4,0.280345,0.0869673
8.46667,0.279388,0.0838042
8.53333,0.279186,0.0836118
8.6,0.278825,0.085489
8.66667,0.276685,0.0812371
8.73333,0.27691,0.0798902
8.8,0.276478,0.0118359
8.86667,0.276159,0.010076
