time,queue_density,dynamic_density
0.0769231,0.747935,0
0.153846,0.752379,0
0.230769,0.755252,0
0.307692,0.760156,0
0.384615,0.764084,0
0.461538,0.767148,0
0.538462,0.77056,0
0.615385,0.774085,0
0.692308,0.777605,0
0.769231,0.78066,0
0.846154,0.784625,0
0.923077,0.785691,0
1,0.788188,0
1.07692,0.791872,0
1.15385,0.794411,0
1.23077,0.799014,0
1.30769,0.803623,0
1.38462,0.806369,0
1.46154,0.811395,0
1.53846,0.814136,0
1.61538,0.815548,0
1.69231,0.818045,0
1.76923,0.820068,0
1.84615,0.820359,0
1.92308,0.816862,0
2,0.817655,0
2.07692,0.820842,0
2.15385,0.822677,0
2.23077,0.824395,0
2.30769,0.824437,0
2.38462,0.825634,0
2.46154,0.825887,0
2.53846,0.826779,0
2.61538,0.827778,0
2.69231,0.828173,0
2.76923,0.830228,0
2.84615,0.831073,0
2.92308,0.830101,0
3,0.829595,0
3.07692,0.829102,0
3.15385,0.829027,0
3.23077,0.829613,0
3.30769,0.830191,0
3.38462,0.829965,0
3.46154,0.831232,0
3.53846,0.831528,0
3.61538,0.831828,0
3.69231,0.825497,0
3.76923,0.82836,0
3.84615,0.828862,0
3.92308,0.829623,0
4,0.830022,0
4.07692,0.830613,0
4.15385,0.831922,0
4.23077,0.832387,0
4.30769,0.831444,0
4.38462,0.831575,0
4.46154,0.832368,0
4.53846,0.832434,0
4.61538,0.831838,0
4.69231,0.832255,0
4.76923,0.831974,0
4.84615,0.831659,0
4.92308,0.831767,0
5,0.831791,0
5.07692,0.832246,0
5.15385,0.832509,0
5.23077,0.832889,0
5.30769,0.832617,0
5.38462,0.833049,0
5.46154,0.827581,0
5.53846,0.829177,0
5.61538,0.82966,0
5.69231,0.830472,0
5.76923,0.831767,0
5.84615,0.833673,0
5.92308,0.834823,0
6,0.835137,0
6.07692,0.834611,0
6.15385,0.834541,0
6.23077,0.834532,0
6.30769,0.83487,0
6.38462,0.83486,0
6.46154,0.83486,0
6.53846,0.83486,0
6.61538,0.834949,0
6.69231,0.834916,0
6.76923,0.834916,0
6.84615,0.834916,0
6.92308,0.834968,0
7,0.834931,0
7.07692,0.831336,0
7.15385,0.83143,0
7.23077,0.839652,0
7.30769,0.839628,0
7.38462,0.840069,0
7.46154,0.840787,0
7.53846,0.840558,0
7.61538,0.840365,0
7.69231,0.840576,0
7.76923,0.840445,0
7.84615,0.840346,0
7.92308,0.84045,0
8,0.830528,0
8.07692,0.831214,0
8.15385,0.834058,0
8.23077,0.834485,0
8.30769,0.835283,0
8.38462,0.835297,0
8.46154,0.835405,0
8.53846,0.834898,0
8.61538,0.833607,0
8.69231,0.832734,0
8.76923,0.831462,0
8.84615,0.829243,0
8.92308,0.828107,0
9,0.826746,0
9.07692,0.826145,0
9.15385,0.825709,0
9.23077,0.826586,0
9.30769,0.826572,0
9.38462,0.826577,0
9.46154,0.826258,0
9.53846,0.826098,0
9.61538,0.826497,0
9.69231,0.826183,0
9.76923,0.814084,0
9.84615,0.814056,0
9.92308,0.815093,0
10,0.815881,0
10.0769,0.817655,0
10.1538,0.818538,0
10.2308,0.821612,0
10.3077,0.823597,0
10.3846,0.825023,0
10.4615,0.826812,0
10.5385,0.829266,0
10.6154,0.831082,0
10.6923,0.832345,0
10.7692,0.833668,0
10.8462,0.834813,0
10.9231,0.835555,0
11,0.835189,0
11.0769,0.834823,0
11.1538,0.834959,0
11.2308,0.835292,0
11.3077,0.836334,0
11.3846,0.836653,0
11.4615,0.836705,0
11.5385,0.833311,0
11.6154,0.8341,0
11.6923,0.834034,0
11.7692,0.834729,0
11.8462,0.833424,0
11.9231,0.834851,0
12,0.833912,0
12.0769,0.835015,0
12.1538,0.835503,0
12.2308,0.836306,0
12.3077,0.836465,0
12.3846,0.837315,0
12.4615,0.838746,0
12.5385,0.838769,0
12.6154,0.839816,0
12.6923,0.840023,0
12.7692,0.840928,0
12.8462,0.842712,0
12.9231,0.843031,0
13,0.842012,0
13.0769,0.843214,0
13.1538,0.843566,0
13.2308,0.842547,0
