time,queue_density,dynamic_density
0.0666667,0.112032,0
0.133333,0.118875,0
0.2,0.122105,0
0.266667,0.135195,0
0.333333,0.148158,0
0.4,0.15568,0
0.466667,0.16622,0
0.533333,0.175741,0
0.6,0.175316,0
0.666667,0.176633,0
0.733333,0.179056,0
0.8,0.180331,0
0.866667,0.183221,0
0.933333,0.185813,0
1,0.189468,0
1.06667,0.191508,0
1.13333,0.192188,0
1.2,0.194058,0
1.26667,0.191933,0
1.33333,0.189128,0
1.4,0.189638,0
1.46667,0.193336,0
1.53333,0.195716,0
1.6,0.199456,0
1.66667,0.201199,0
1.73333,0.209784,0
1.8,0.209529,0
1.86667,0.218369,0
1.93333,0.220579,0
2,0.217689,0
2.06667,0.221726,0
2.13333,0.214161,0
2.2,0.220409,0
2.26667,0.219814,0
2.33333,0.213396,0
2.4,0.215521,0
2.46667,0.215776,0
2.53333,0.213566,0
2.6,0.212759,0
2.66667,0.211314,0
2.73333,0.211696,0
2.8,0.209146,0
2.86667,0.211824,0
2.93333,0.211441,0
3,0.213651,0
3.06667,0.216244,0
3.13333,0.219006,0
3.2,0.222066,0
3.26667,0.220961,0
3.33333,0.221471,0
3.4,0.223256,0
3.46667,0.218581,0
3.53333,0.217476,0
3.6,0.215096,0
3.66667,0.218921,0
3.73333,0.219261,0
3.8,0.215309,0
3.86667,0.213439,0
3.93333,0.213906,0
4,0.215649,0
4.06667,0.215054,0
4.13333,0.216414,0
4.2,0.219516,0
4.26667,0.219941,0
4.33333,0.220239,0
4.4,0.220706,0
4.46667,0.217604,0
4.53333,0.216881,0
4.6,0.218029,0
4.66667,0.222109,0
4.73333,0.220281,0
4.8,0.223596,0
4.86667,0.223214,0
4.93333,0.224106,0
5,0.222024,0
5.06667,0.225594,0
5.13333,0.224999,0
5.2,0.222364,0
5.26667,0.228186,0
5.33333,0.229079,0
5.4,0.231757,0
5.46667,0.235157,0
5.53333,0.244507,0
5.6,0.248629,0
5.66667,0.259425,0
5.73333,0.27005,0
5.8,0.272345,0
5.86667,0.280972,0
5.93333,0.28994,0
6,0.293978,0
6.06667,0.299205,0
6.13333,0.303923,0
6.2,0.304178,0
6.26667,0.304135,0
6.33333,0.297845,0
6.4,0.298865,0
6.46667,0.298568,0
6.53333,0.300353,0
6.6,0.297208,0
6.66667,0.297803,0
6.73333,0.299418,0
6.8,0.300735,0
6.86667,0.300523,0
6.93333,0.304433,0
7,0.303753,0
7.06667,0.30218,0
7.13333,0.313613,0
7.2,0.319563,0
7.26667,0.325343,0
7.33333,0.332483,0
7.4,0.340176,0
7.46667,0.346891,0
7.53333,0.355264,0
7.6,0.353734,0
7.66667,0.362574,0
7.73333,0.364146,0
7.8,0.365549,0
7.86667,0.364019,0
7.93333,0.363976,0
8,0.358791,0
8.06667,0.360236,0
8.13333,0.359429,0
8.2,0.360576,0
8.26667,0.358069,0
8.33333,0.358324,0
8.4,0.359344,0
8.46667,0.358026,0
8.53333,0.352884,0
8.6,0.351694,0
8.66667,0.351906,0
8.73333,0.351906,0
8.8,0.352926,0
8.86667,0.350716,0
8.93333,0.354201,0
9,0.354074,0
9.06667,0.354966,0
9.13333,0.351269,0
9.2,0.348421,0
9.26667,0.350291,0
9.33333,0.351821,0
9.4,0.350716,0
9.46667,0.350419,0
9.53333,0.350631,0
9.6,0.352416,0
9.66667,0.347231,0
9.73333,0.345276,0
9.8,0.346126,0
9.86667,0.348464,0
9.93333,0.346084,0
10,0.346976,0
10.0667,0.341153,0
10.1333,0.336563,0
10.2,0.334778,0
10.2667,0.338263,0
10.3333,0.326576,0
10.4,0.327383,0
10.4667,0.330358,0
10.5333,0.329636,0
10.6,0.328913,0
10.6667,0.320243,0
10.7333,0.317183,0
10.8,0.321051,0
10.8667,0.320456,0
10.9333,0.316928,0
11,0.317906,0
11.0667,0.321221,0
11.1333,0.319903,0
11.2,0.322028,0
11.2667,0.316248,0
11.3333,0.309703,0
11.4,0.310298,0
11.4667,0.310808,0
11.5333,0.304518,0
11.6,0.309958,0
11.6667,0.306345,0
11.7333,0.301118,0
11.8,0.30337,0
11.8667,0.297845,0
11.9333,0.303455,0
12,0.301543,0
12.0667,0.292278,0
12.1333,0.298143,0
12.2,0.299885,0
12.2667,0.298015,0
12.3333,0.298355,0
12.4,0.293128,0
12.4667,0.296103,0
12.5333,0.295848,0
12.6,0.295423,0
12.6667,0.296103,0
12.7333,0.296443,0
12.8,0.29572,0
12.8667,0.295933,0
12.9333,0.29623,0
13,0.296698,0
13.0667,0.291555,0
13.1333,0.293085,0
13.2,0.292023,0
13.2667,0.293213,0
13.3333,0.291938,0
13.4,0.294445,0
13.4667,0.293638,0
13.5333,0.293595,0
13.6,0.296485,0
13.6667,0.295508,0
13.7333,0.296145,0
13.8,0.295933,0
13.8667,0.29623,0
13.9333,0.296315,0
14,0.297165,0
14.0667,0.29776,0
14.1333,0.297803,0
14.2,0.300948,0
14.2667,0.301033,0
14.3333,0.302478,0
14.4,0.301755,0
14.4667,0.301245,0
14.5333,0.30099,0
14.6,0.30099,0
14.6667,0.292065,0
14.7333,0.293723,0
14.8,0.291853,0
14.8667,0.294148,0
14.9333,0.292958,0
15,0.287263,0
15.0667,0.287518,0
15.1333,0.287858,0
15.2,0.28773,0
15.2667,0.288368,0
15.3333,0.288495,0
15.4,0.28875,0
15.4667,0.288963,0
15.5333,0.290153,0
15.6,0.29079,0
15.6667,0.29181,0
15.7333,0.290918,0
15.8,0.290238,0
15.8667,0.289685,0
15.9333,0.292023,0
16,0.29419,0
16.0667,0.29283,0
16.1333,0.292065,0
16.2,0.292575,0
16.2667,0.293425,0
16.3333,0.29538,0
16.4,0.296528,0
16.4667,0.29827,0
16.5333,0.300013,0
16.6,0.29963,0
16.6667,0.30116,0
16.7333,0.301288,0
16.8,0.302223,0
16.8667,0.3015,0
16.9333,0.300948,0
17,0.300395,0
17.0667,0.303243,0
17.1333,0.306005,0
17.2,0.30626,0
17.2667,0.30592,0
17.3333,0.304645,0
17.4,0.299418,0
17.4667,0.301968,0
17.5333,0.301968,0
17.6,0.30082,0
17.6667,0.300778,0
17.7333,0.30048,0
17.8,0.299843,0
17.8667,0.300608,0
17.9333,0.30048,0
18,0.301755,0
18.0667,0.299673,0
18.1333,0.3015,0
18.2,0.301458,0
18.2667,0.301075,0
18.3333,0.301628,0
18.4,0.30201,0
18.4667,0.300905,0
18.5333,0.300948,0
18.6,0.300013,0
18.6667,0.300778,0
18.7333,0.300565,0
18.8,0.30048,0
18.8667,0.300055,0
18.9333,0.301628,0
19,0.30303,0
19.0667,0.305538,0
19.1333,0.305793,0
19.2,0.306983,0
19.2667,0.304093,0
19.3333,0.304433,0
19.4,0.304645,0
19.4667,0.304433,0
19.5333,0.30541,0
19.6,0.30575,0
19.6667,0.306048,0
19.7333,0.298568,0
19.8,0.299205,0
19.8667,0.299503,0
19.9333,0.299248,0
20,0.299843,0
20.0667,0.29878,0
20.1333,0.30235,0
20.2,0.302775,0
20.2667,0.302095,0
20.3333,0.302265,0
20.4,0.302478,0
20.4667,0.302265,0
20.5333,0.302605,0
20.6,0.302138,0
20.6667,0.302605,0
20.7333,0.306048,0
20.8,0.3083,0
20.8667,0.30847,0
20.9333,0.30881,0
21,0.309405,0
21.0667,0.311743,0
21.1333,0.311913,0
21.2,0.312848,0
21.2667,0.31323,0
21.3333,0.300735,0
21.4,0.300395,0
21.4667,0.299588,0
21.5333,0.299673,0
21.6,0.300608,0
21.6667,0.300778,0
21.7333,0.303158,0
21.8,0.30082,0
21.8667,0.305793,0
21.9333,0.304348,0
22,0.30405,0
22.0667,0.302138,0
22.1333,0.300565,0
22.2,0.29929,0
22.2667,0.298228,0
22.3333,0.299035,0
22.4,0.299715,0
22.4667,0.300353,0
22.5333,0.301033,0
22.6,0.301883,0
22.6667,0.30184,0
22.7333,0.308385,0
22.8,0.31017,0
22.8667,0.317226,0
22.9333,0.319478,0
23,0.317991,0
23.0667,0.322963,0
23.1333,0.325641,0
23.2,0.325216,0
23.2667,0.325853,0
23.3333,0.329126,0
23.4,0.330401,0
23.4667,0.329848,0
23.5333,0.330103,0
23.6,0.328106,0
23.6667,0.323091,0
23.7333,0.326788,0
23.8,0.328573,0
23.8667,0.328616,0
23.9333,0.329423,0
24,0.328913,0
24.0667,0.328531,0
24.1333,0.329721,0
24.2,0.331293,0
24.2667,0.328998,0
24.3333,0.330486,0
24.4,0.330316,0
24.4667,0.328531,0
24.5333,0.328956,0
24.6,0.330741,0
24.6667,0.330018,0
24.7333,0.329126,0
24.8,0.330443,0
24.8667,0.331293,0
24.9333,0.330358,0
25,0.330231,0
25.0667,0.329721,0
25.1333,0.329168,0
25.2,0.327256,0
25.2667,0.325301,0
25.3333,0.324408,0
25.4,0.324748,0
25.4667,0.322963,0
25.5333,0.321901,0
25.6,0.323048,0
25.6667,0.322453,0
25.7333,0.324111,0
25.8,0.325046,0
25.8667,0.326618,0
25.9333,0.329721,0
26,0.327213,0
26.0667,0.328403,0
26.1333,0.329211,0
26.2,0.325938,0
26.2667,0.328828,0
26.3333,0.326618,0
26.4,0.330018,0
26.4667,0.329721,0
26.5333,0.331463,0
26.6,0.327638,0
26.6667,0.327978,0
26.7333,0.329976,0
26.8,0.329296,0
26.8667,0.331208,0
26.9333,0.333673,0
27,0.331378,0
27.0667,0.334736,0
27.1333,0.337796,0
27.2,0.344044,0
27.2667,0.341621,0
27.3333,0.351481,0
27.4,0.350121,0
27.4667,0.349909,0
27.5333,0.361426,0
27.6,0.366739,0
27.6667,0.371031,0
27.7333,0.369799,0
27.8,0.377789,0
27.8667,0.389222,0
27.9333,0.388244,0
28,0.383782,0
28.0667,0.385184,0
28.1333,0.392282,0
28.2,0.387182,0
28.2667,0.392069,0
28.3333,0.402525,0
28.4,0.400017,0
28.4667,0.407582,0
28.5333,0.410047,0
28.6,0.415275,0
28.6667,0.40856,0
28.7333,0.420842,0
28.8,0.423265,0
28.8667,0.418717,0
28.9333,0.42811,0
29,0.423987,0
29.0667,0.426027,0
29.1333,0.431553,0
29.2,0.43814,0
29.2667,0.44239,0
29.3333,0.444855,0
29.4,0.449445,0
29.4667,0.44613,0
29.5333,0.443495,0
29.6,0.43015,0
29.6667,0.420545,0
29.7333,0.447405,0
29.8,0.44494,0
29.8667,0.442773,0
29.9333,0.458456,0
30,0.463811,0
30.0667,0.469081,0
30.1333,0.480896,0
30.2,0.466191,0
30.2667,0.469888,0
30.3333,0.464703,0
30.4,0.466446,0
30.4667,0.478771,0
30.5333,0.477921,0
30.6,0.471461,0
30.6667,0.466361,0
30.7333,0.466403,0
30.8,0.466403,0
30.8667,0.466913,0
30.9333,0.462961,0
31,0.464023,0
31.0667,0.457138,0
31.1333,0.468103,0
31.2,0.471673,0
31.2667,0.465638,0
31.3333,0.45225,0
31.4,0.463641,0
31.4667,0.461856,0
31.5333,0.461813,0
31.6,0.471461,0
31.6667,0.460836,0
31.7333,0.457861,0
31.8,0.468783,0
31.8667,0.457181,0
31.9333,0.463216,0
32,0.461218,0
32.0667,0.471418,0
32.1333,0.467678,0
32.2,0.459348,0
32.2667,0.468868,0
32.3333,0.465511,0
32.4,0.463768,0
32.4667,0.470441,0
32.5333,0.471078,0
32.6,0.459561,0
32.6667,0.469251,0
32.7333,0.473841,0
32.8,0.469421,0
32.8667,0.467338,0
32.9333,0.465213,0
33,0.458328,0
33.0667,0.455353,0
33.1333,0.463258,0
33.2,0.458371,0
33.2667,0.466701,0
33.3333,0.475413,0
33.4,0.482723,0
33.4667,0.499639,0
33.5333,0.503379,0
33.6,0.513451,0
33.6667,0.523439,0
33.7333,0.523482,0
33.8,0.534362,0
33.8667,0.540397,0
33.9333,0.550852,0
34,0.556292,0
34.0667,0.56475,0
34.1333,0.57665,0
34.2,0.576183,0
34.2667,0.581963,0
34.3333,0.580263,0
34.4,0.58277,0
34.4667,0.58923,0
34.5333,0.59059,0
34.6,0.592758,0
34.6667,0.596073,0
34.7333,0.599218,0
34.8,0.601428,0
34.8667,0.602406,0
34.9333,0.602108,0
35,0.603511,0
35.0667,0.59926,0
35.1333,0.600706,0
35.2,0.602023,0
35.2667,0.602236,0
35.3333,0.601981,0
35.4,0.600366,0
35.4667,0.597858,0
35.5333,0.598325,0
35.6,0.598495,0
35.6667,0.600578,0
35.7333,0.600791,0
35.8,0.600706,0
35.8667,0.601343,0
35.9333,0.603851,0
36,0.600196,0
36.0667,0.601556,0
36.1333,0.602448,0
36.2,0.602236,0
36.2667,0.602788,0
36.3333,0.599133,0
36.4,0.600281,0
36.4667,0.59858,0
36.5333,0.59756,0
36.6,0.597433,0
36.6667,0.595903,0
36.7333,0.592843,0
36.8,0.59127,0
36.8667,0.590675,0
36.9333,0.588975,0
37,0.588635,0
37.0667,0.586128,0
37.1333,0.58566,0
37.2,0.584725,0
37.2667,0.584215,0
37.3333,0.583068,0
37.4,0.58277,0
37.4667,0.57053,0
37.5333,0.577713,0
37.6,0.566365,0
37.6667,0.564707,0
37.7333,0.560117,0
37.8,0.54979,0
37.8667,0.55591,0
37.9333,0.570105,0
38,0.557482,0
38.0667,0.568532,0
38.1333,0.578818,0
38.2,0.57801,0
38.2667,0.583705,0
38.3333,0.585278,0
38.4,0.588975,0
38.4667,0.598495,0
38.5333,0.605848,0
38.6,0.613286,0
38.6667,0.617196,0
38.7333,0.625441,0
38.8,0.628586,0
38.8667,0.635429,0
38.9333,0.640231,0
39,0.642824,0
39.0667,0.653236,0
39.1333,0.652854,0
39.2,0.654044,0
39.2667,0.657317,0
39.3333,0.660589,0
39.4,0.663054,0
39.4667,0.665477,0
39.5333,0.667177,0
39.6,0.673892,0
39.6667,0.679077,0
39.7333,0.682902,0
39.8,0.687067,0
39.8667,0.687747,0
39.9333,0.694887,0
40,0.697055,0
40.0667,0.702325,0
40.1333,0.705385,0
40.2,0.707425,0
40.2667,0.710952,0
40.3333,0.71482,0
40.4,0.716818,0
40.4667,0.724043,0
40.5333,0.728378,0
40.6,0.73046,0
40.6667,0.734795,0
40.7333,0.738153,0
40.8,0.739258,0
40.8667,0.745081,0
40.9333,0.748396,0
41,0.751158,0
41.0667,0.757406,0
41.1333,0.762378,0
41.2,0.765481,0
41.2667,0.767478,0
41.3333,0.776446,0
41.4,0.776744,0
41.4667,0.779974,0
41.5333,0.782269,0
41.6,0.784139,0
41.6667,0.785116,0
41.7333,0.786519,0
41.8,0.786689,0
41.8667,0.792299,0
41.9333,0.794254,0
42,0.795826,0
42.0667,0.797569,0
42.1333,0.798844,0
42.2,0.800969,0
42.2667,0.801437,0
42.3333,0.803137,0
42.4,0.803774,0
42.4667,0.802542,0
42.5333,0.800884,0
42.6,0.801012,0
42.6667,0.800162,0
42.7333,0.799779,0
42.8,0.799481,0
42.8667,0.798164,0
42.9333,0.804964,0
43,0.799949,0
43.0667,0.804029,0
43.1333,0.805644,0
43.2,0.804709,0
43.2667,0.805389,0
43.3333,0.806197,0
43.4,0.809002,0
43.4667,0.809129,0
43.5333,0.811424,0
43.6,0.814697,0
43.6667,0.813974,0
43.7333,0.815759,0
43.8,0.814867,0
43.8667,0.816524,0
43.9333,0.815887,0
44,0.821327,0
44.0667,0.822602,0
44.1333,0.823537,0
44.2,0.821964,0
44.2667,0.823834,0
44.3333,0.825577,0
44.4,0.824004,0
44.4667,0.826427,0
44.5333,0.82953,0
44.6,0.830295,0
44.6667,0.83174,0
44.7333,0.83276,0
44.8,0.833312,0
44.8667,0.834417,0
44.9333,0.838327,0
45,0.838285,0
45.0667,0.839857,0
45.1333,0.842365,0
45.2,0.844575,0
45.2667,0.844915,0
45.3333,0.844787,0
45.4,0.84534,0
45.4667,0.844065,0
45.5333,0.844957,0
45.6,0.84534,0
45.6667,0.84772,0
45.7333,0.848612,0
45.8,0.848697,0
45.8667,0.851927,0
45.9333,0.850737,0
46,0.851162,0
46.0667,0.851332,0
46.1333,0.849845,0
46.2,0.854562,0
46.2667,0.854307,0
46.3333,0.853755,0
46.4,0.850865,0
46.4667,0.851842,0
46.5333,0.85486,0
46.6,0.854222,0
46.6667,0.85826,0
46.7333,0.856645,0
46.8,0.859068,0
46.8667,0.856432,0
46.9333,0.857027,0
47,0.857835,0
47.0667,0.857453,0
47.1333,0.85758,0
47.2,0.86013,0
47.2667,0.860215,0
47.3333,0.85911,0
47.4,0.859748,0
47.4667,0.85877,0
47.5333,0.859195,0
47.6,0.860258,0
47.6667,0.860215,0
47.7333,0.860683,0
47.8,0.859365,0
47.8667,0.859025,0
47.9333,0.858473,0
48,0.848527,0
48.0667,0.84704,0
48.1333,0.848952,0
48.2,0.848357,0
48.2667,0.848485,0
48.3333,0.852607,0
48.4,0.85452,0
48.4667,0.85537,0
48.5333,0.854052,0
48.6,0.85401,0
48.6667,0.85282,0
48.7333,0.854732,0
48.8,0.853712,0
48.8667,0.852352,0
48.9333,0.851927,0
49,0.851672,0
49.0667,0.851035,0
49.1333,0.851162,0
49.2,0.851077,0
49.2667,0.852182,0
49.3333,0.851927,0
49.4,0.852607,0
49.4667,0.85248,0
49.5333,0.852565,0
49.6,0.852267,0
49.6667,0.843087,0
49.7333,0.842025,0
49.8,0.842662,0
49.8667,0.840495,0
49.9333,0.838412,0
50,0.840155,0
50.0667,0.843597,0
50.1333,0.844362,0
50.2,0.844107,0
50.2667,0.84364,0
50.3333,0.843512,0
50.4,0.842705,0
50.4667,0.843215,0
50.5333,0.842917,0
50.6,0.843045,0
50.6667,0.844022,0
50.7333,0.84585,0
50.8,0.845212,0
50.8667,0.844957,0
50.9333,0.844745,0
51,0.844107,0
51.0667,0.84466,0
51.1333,0.84466,0
51.2,0.84347,0
51.2667,0.84313,0
51.3333,0.83191,0
51.4,0.832165,0
51.4667,0.83395,0
51.5333,0.83463,0
51.6,0.835055,0
51.6667,0.836755,0
51.7333,0.836797,0
51.8,0.836457,0
51.8667,0.836117,0
51.9333,0.83633,0
52,0.836712,0
52.0667,0.837562,0
52.1333,0.83786,0
52.2,0.839347,0
52.2667,0.83939,0
52.3333,0.841897,0
52.4,0.84619,0
52.4667,0.85061,0
52.5333,0.85469,0
52.6,0.856645,0
52.6667,0.861363,0
52.7333,0.867143,0
52.8,0.868588,0
52.8667,0.87237,0
52.9333,0.8773,0
53,0.870968,0
53.0667,0.875515,0
53.1333,0.881508,0
53.2,0.886353,0
53.2667,0.890646,0
53.3333,0.894641,0
53.4,0.897276,0
53.4667,0.898721,0
53.5333,0.899911,0
53.6,0.902078,0
53.6667,0.906371,0
53.7333,0.909898,0
53.8,0.912533,0
53.8667,0.912533,0
53.9333,0.915509,0
54,0.916444,0
54.0667,0.917889,0
54.1333,0.920099,0
54.2,0.922181,0
54.2667,0.924179,0
54.3333,0.927281,0
54.4,0.927536,0
54.4667,0.928811,0
54.5333,0.928726,0
54.6,0.928259,0
54.6667,0.926389,0
54.7333,0.926091,0
54.8,0.928004,0
54.8667,0.925369,0
54.9333,0.924816,0
55,0.924604,0
55.0667,0.925199,0
55.1333,0.925156,0
55.2,0.925156,0
55.2667,0.922946,0
55.3333,0.923329,0
55.4,0.925411,0
55.4667,0.926134,0
55.5333,0.926006,0
55.6,0.926261,0
55.6667,0.927621,0
55.7333,0.927536,0
55.8,0.928131,0
55.8667,0.928684,0
55.9333,0.928981,0
56,0.929194,0
56.0667,0.931786,0
56.1333,0.931744,0
56.2,0.931701,0
56.2667,0.931829,0
56.3333,0.923796,0
56.4,0.923456,0
56.4667,0.924519,0
56.5333,0.924859,0
56.6,0.924689,0
56.6667,0.925624,0
56.7333,0.927026,0
56.8,0.927026,0
56.8667,0.927919,0
56.9333,0.929406,0
57,0.928386,0
57.0667,0.928429,0
57.1333,0.929406,0
57.2,0.929406,0
57.2667,0.926261,0
57.3333,0.926091,0
57.4,0.925964,0
57.4667,0.926006,0
57.5333,0.926006,0
57.6,0.926644,0
57.6667,0.927876,0
57.7333,0.928981,0
57.8,0.929109,0
57.8667,0.929024,0
57.9333,0.929236,0
58,0.928726,0
58.0667,0.929704,0
58.1333,0.929449,0
58.2,0.930171,0
58.2667,0.930214,0
58.3333,0.930681,0
58.4,0.928259,0
58.4667,0.931616,0
58.5333,0.931319,0
58.6,0.931744,0
58.6667,0.933019,0
58.7333,0.932466,0
58.8,0.933869,0
58.8667,0.933614,0
58.9333,0.933571,0
59,0.933826,0
59.0667,0.933274,0
59.1333,0.933274,0
59.2,0.933019,0
59.2667,0.933146,0
59.3333,0.934081,0
59.4,0.934124,0
59.4667,0.934124,0
59.5333,0.933911,0
59.6,0.932976,0
59.6667,0.933146,0
59.7333,0.932891,0
59.8,0.933529,0
59.8667,0.933486,0
59.9333,0.933486,0
60,0.933146,0
60.0667,0.933444,0
60.1333,0.932976,0
60.2,0.933869,0
60.2667,0.933784,0
60.3333,0.930001,0
60.4,0.931276,0
60.4667,0.931744,0
60.5333,0.933019,0
60.6,0.932934,0
60.6667,0.933996,0
60.7333,0.933571,0
60.8,0.933104,0
60.8667,0.933571,0
60.9333,0.933529,0
61,0.933571,0
61.0667,0.932934,0
61.1333,0.932764,0
61.2,0.932551,0
61.2667,0.930384,0
61.3333,0.930341,0
61.4,0.930809,0
61.4667,0.931489,0
61.5333,0.931234,0
61.6,0.931021,0
61.6667,0.931021,0
61.7333,0.929576,0
61.8,0.930171,0
61.8667,0.929491,0
61.9333,0.929449,0
62,0.922989,0
62.0667,0.923711,0
62.1333,0.924179,0
62.2,0.925114,0
62.2667,0.924561,0
62.3333,0.927239,0
62.4,0.927111,0
62.4667,0.928216,0
62.5333,0.932084,0
62.6,0.933401,0
62.6667,0.935569,0
62.7333,0.937864,0
62.8,0.937694,0
62.8667,0.936461,0
62.9333,0.937991,0
63,0.939139,0
63.0667,0.941094,0
63.1333,0.943389,0
63.2,0.943347,0
63.2667,0.943559,0
63.3333,0.944282,0
63.4,0.943984,0
63.4667,0.942751,0
63.5333,0.942369,0
63.6,0.942539,0
63.6667,0.938671,0
63.7333,0.939649,0
63.8,0.939734,0
63.8667,0.940074,0
63.9333,0.942709,0
64,0.943772,0
64.0667,0.945429,0
64.1333,0.945599,0
64.2,0.944537,0
64.2667,0.946449,0
64.3333,0.945982,0
64.4,0.946109,0
64.4667,0.945174,0
64.5333,0.945897,0
64.6,0.948447,0
64.6667,0.950062,0
64.7333,0.951464,0
64.8,0.952357,0
64.8667,0.951974,0
64.9333,0.951209,0
65,0.951634,0
65.0667,0.950912,0
65.1333,0.951337,0
65.2,0.951252,0
65.2667,0.951847,0
65.3333,0.946109,0
65.4,0.947512,0
65.4667,0.948702,0
65.5333,0.948234,0
65.6,0.948744,0
65.6667,0.948149,0
65.7333,0.948064,0
65.8,0.947384,0
65.8667,0.946279,0
65.9333,0.947937,0
66,0.948617,0
66.0667,0.947299,0
66.1333,0.946534,0
66.2,0.946789,0
66.2667,0.948999,0
66.3333,0.949382,0
66.4,0.949254,0
66.4667,0.950912,0
66.5333,0.950572,0
66.6,0.949552,0
66.6667,0.948574,0
66.7333,0.947427,0
66.8,0.946449,0
66.8667,0.946704,0
66.9333,0.946747,0
67,0.945259,0
67.0667,0.946024,0
67.1333,0.943474,0
67.2,0.943772,0
67.2667,0.946152,0
